LIE,2,2,5
EGY,7,8,12
ROT,0,0,0
LIB,0,2,2
QAT,0,1,4
SOM,0,0,0
BOT,0,1,0
PAR,0,17,0
NAM,0,4,0
BOH,0,1,11
FIJ,13,0,0
BOL,0,0,0
GHA,0,1,22
PAK,42,45,34
CPV,0,0,0
JOR,1,0,0
LBR,0,0,0
SAM,0,0,0
SAA,0,0,0
UAR,0,1,1
PUR,1,2,6
POL,117,195,253
PRK,16,16,35
LBA,0,0,0
LUX,4,4,0
MYA,0,0,0
ETH,22,9,22
UAE,1,0,1
HKG,1,2,1
IOA,1,1,3
YUG,130,167,93
CHA,0,0,0
TPE,3,28,18
VAN,0,0,0
SVK,15,19,13
WIF,0,0,5
CHI,3,9,20
OMA,0,0,0
CHN,350,347,292
ISV,0,1,0
URU,31,2,30
SLE,0,0,0
JAM,38,75,44
SMR,0,0,0
MRI,0,0,1
URS,1082,732,689
DJI,0,0,1
ZIM,17,4,1
FIN,198,270,432
THA,9,8,13
MAS,0,11,5
LAO,0,0,0
YEM,0,0,0
MAW,0,0,0
VIE,1,3,0
KIR,0,0,0
VIN,0,0,0
AHO,0,1,0
ROU,161,200,292
SYR,1,1,1
MAD,0,0,0
RHO,0,0,0
LAT,3,19,13
KAZ,20,25,32
MAL,0,0,0
SUR,1,0,1
DMA,0,0,0
GUA,0,1,0
BEN,0,0,0
BEL,98,197,173
TOG,0,0,1
GUI,0,0,0
PHI,0,3,7
GUM,0,0,0
NIG,0,1,1
CRC,1,1,2
GBR,678,739,651
GBS,0,0,0
DEN,179,241,177
BER,0,0,1
GUY,0,0,1
SKN,0,0,0
CMR,20,1,1
GER,745,674,746
GEQ,0,0,0
MAR,6,5,12
BUR,0,0,0
HUN,432,332,371
TKM,0,0,0
TTO,7,8,17
PAN,1,0,2
BUL,54,144,144
GEO,8,6,18
MNE,0,14,0
VNM,0,0,0
MHL,0,0,0
NFL,0,0,0
AFG,0,0,2
BDI,1,1,0
BLR,24,44,71
GRE,62,109,84
RUS,390,367,408
GRN,1,1,0
AND,0,0,0
MOZ,1,0,1
ANG,0,0,0
IVB,0,0,0
TJK,1,1,2
MGL,2,10,14
ANT,0,0,0
MON,0,0,1
LCA,0,0,0
IND,138,19,40
MTN,0,0,0
INA,11,17,13
ANZ,20,4,5
CZE,42,36,66
SUD,0,1,0
MLT,0,0,0
DOM,3,2,2
KUW,0,0,2
ISR,1,1,7
NED,287,340,413
FSM,0,0,0
PER,1,14,0
COD,0,0,0
ISL,0,15,2
COK,0,0,0
COM,0,0,0
COL,5,9,14
NEP,1,0,0
CRT,0,0,0
CGO,0,0,0
SCG,12,26,26
MDA,0,3,5
STP,0,0,0
ASA,0,0,0
SEY,0,0,0
TCH,81,225,182
ECU,1,1,0
NBO,0,0,0
SEN,0,1,0
MDV,0,0,0
SRB,15,29,41
FRA,501,610,666
EUN,127,71,81
FRG,159,194,233
LTU,6,7,48
RWA,0,0,0
SRI,0,2,0
UKR,47,52,100
CRO,58,54,37
AUS,348,455,517
AUT,108,186,156
VEN,2,3,10
UNK,0,0,0
TAN,0,2,0
PLW,0,0,0
KEN,34,41,31
GDR,397,327,281
ZAM,0,1,1
ALG,5,4,8
BRU,0,0,0
ALB,0,0,0
TUV,0,0,0
ITA,575,531,531
BRN,1,1,1
PLE,0,0,0
LES,0,0,0
TUN,3,3,7
KSA,0,1,5
MEX,30,26,54
BRA,109,175,191
CIV,1,1,1
TLS,0,0,0
CAY,0,0,0
MKD,0,0,1
BAR,0,0,1
NGR,23,30,46
USA,2638,1641,1358
HAI,1,1,5
SWE,479,522,535
AZE,7,12,25
TUR,40,27,28
SWZ,0,0,0
CAN,463,438,451
CAM,0,0,0
BAN,0,0,0
KOS,1,0,0
KOR,221,232,185
CAF,0,0,0
BAH,14,11,15
CYP,0,1,0
BIH,0,0,0
SGP,1,4,4
POR,4,11,26
SOL,0,0,0
UZB,10,7,17
ERI,0,0,1
GAM,0,0,0
TGA,0,1,0
BIZ,0,0,0
GAB,0,1,0
EST,13,12,25
ESP,110,243,136
HON,0,0,0
IRQ,0,0,1
MLI,0,0,0
YMD,0,0,0
IRI,18,21,29
SLO,8,13,27
IRL,9,13,13
ESA,0,0,0
SSD,0,0,0
PNG,0,0,0
YAR,0,0,0
NZL,90,56,82
SUI,175,248,268
ARU,0,0,0
JPN,247,309,357
KGZ,0,1,2
RSA,32,47,52
UGA,2,3,2
NOR,378,361,294
ARG,91,92,91
NCA,0,0,0
BHU,0,0,0
ARM,2,5,9
NRU,0,0,0
CUB,164,129,116
